GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trailrunner,se.iths,User,0,112,0,4,0,19,0,9,0,7
trailrunner,se.iths,Run,0,53,0,0,0,13,0,6,0,6
trailrunner,se.iths,DatabaseAPI,0,19,0,0,0,5,0,5,0,5
